model,quality,kodak,psnr,ssim,vif,bpp,mse,mae
bmshj2018-factorized,1,11,37.9,0.9698,0.9996,0.7635,1.62 × 10^-4,9.33 × 10^-3
bmshj2018-factorized,1,12,30.14,0.9631,0.9992,1.902,9.68 × 10^-4,2.26 × 10^-2
bmshj2018-factorized,1,13,34.13,0.9681,1.0001,1.2581,3.86 × 10^-4,1.44 × 10^-2
bmshj2018-factorized,1,14,36.21,0.9662,0.9987,0.8215,2.39 × 10^-4,1.05 × 10^-2
bmshj2018-factorized,1,15,36.8,0.9727,1.004,0.9021,2.09 × 10^-4,1.05 × 10^-2
bmshj2018-factorized,1,16,36.77,0.9732,1.0004,0.7921,2.1 × 10^-4,1.01 × 10^-2
bmshj2018-factorized,1,17,32.99,0.9624,1.0026,1.2505,5.02 × 10^-4,1.58 × 10^-2
bmshj2018-factorized,1,18,35.52,0.9672,0.9991,0.9866,2.8 × 10^-4,1.22 × 10^-2
bmshj2018-factorized,1,19,37.13,0.9727,1.0,0.7759,1.94 × 10^-4,8.79 × 10^-3
bmshj2018-factorized,1,20,34.8,0.9696,1.0001,1.0666,3.31 × 10^-4,1.28 × 10^-2
bmshj2018-factorized,1,21,34.84,0.9616,1.0022,1.0485,3.28 × 10^-4,1.32 × 10^-2
bmshj2018-factorized,1,22,38.45,0.9751,0.9971,0.6256,1.43 × 10^-4,8.37 × 10^-3
bmshj2018-factorized,1,23,32.94,0.9738,1.0045,1.2528,5.09 × 10^-4,1.43 × 10^-2
bmshj2018-factorized,1,0,35.83,0.9834,0.9994,2.0708,2.61 × 10^-4,1.23 × 10^-2
bmshj2018-factorized,1,1,38.17,0.9728,0.9991,1.2509,1.52 × 10^-4,9.11 × 10^-3
bmshj2018-factorized,1,3,38.37,0.9763,1.0018,1.2228,1.45 × 10^-4,8.93 × 10^-3
bmshj2018-factorized,1,4,36.02,0.987,0.9983,1.899,2.5 × 10^-4,1.17 × 10^-2
bmshj2018-factorized,1,5,37.05,0.9825,1.0008,1.6475,1.97 × 10^-4,1.03 × 10^-2
bmshj2018-factorized,1,6,39.87,0.9875,0.9986,1.0507,1.03 × 10^-4,7.26 × 10^-3
bmshj2018-factorized,1,7,35.06,0.9837,0.9994,2.1032,3.12 × 10^-4,1.32 × 10^-2
bmshj2018-factorized,1,8,39.4,0.9761,0.9981,0.9989,1.15 × 10^-4,8.09 × 10^-3
bmshj2018-factorized,1,9,39.27,0.9778,0.9998,1.0475,1.18 × 10^-4,8.16 × 10^-3
